STAGE_NUMBER,STARTING_AT_KM,NAME,INITIAL_ALTITUDE,DISTANCE,AVERAGE_SLOPE,CATEGORY
12,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
12,138,Col des Brosses,0,15.3,3.3,3
12,164,Côte de Grammond,0,9.8,2.9,4
13,24,Col de la Croix de Montvieux,0,8,4.1,3
13,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
13,197.5,Montée de Chamrousse,1730,18.2,7.3,H
14,82,Col du Lautaret,2058,34,3.9,1
14,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
14,177,Montée de Risoul,1855,12.6,6.9,1
16,25,Côte de Fanjeaux,0,2.4,4.9,4
16,71.5,Côte de Pamiers,0,2.5,5.4,4
16,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
16,176.5,Col des Ares,0,6,5.2,3
16,216,Port de Balès,1755,11.7,7.7,H
17,57.5,Col du Portillon,1292,8.3,7.1,1
17,82,Col de Peyresourde,1569,13.2,7,1
17,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
17,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
18,28,Côte de Bénéjacq,0,2.6,6.7,3
18,56,Côte de Loucrup,0,2,7,3
18,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
18,145.5,Montée du Hautacam,1520,13.6,7.8,H
19,195.5,Côte de Monbazillac,0,1.3,7.6,4
21,31,Côte de Briis-sous-Forges,0,0,0,4
22,68,Côte de Cray,0,1.6,7.1,4
22,103.5,Côte de Buttertubs,0,4.5,6.8,3
22,129.5,Côte de Griton Moor,0,3,6.6,3
23,47,Côte de Blubberhouses,0,1.8,6.1,4
23,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
23,112.5,VC Côte de Ripponden,0,1.3,8.6,3
23,119.5,Côte de Greetland,0,1.6,6.7,3
23,143.5,Côte de Holme Moss,0,4.7,7,2
23,167,Côte de Midhopestones,0,2.5,6.1,3
23,175,Côte de Bradfield,0,1,7.4,4
23,182,Côte d'Oughtibridge,0,1.5,9.1,3
23,196,VC Côte de Jenkin Road,0,0.8,10.8,4
25,34,Côte de Campagnette,0,1,6.5,4
25,117.5,Mont Noir,0,1.3,5.7,4
27,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
27,157,Côte de Roucy,0,1.5,6.2,4
28,217.5,Côte de Maron,0,3.2,5,4
28,229,Côte de Boufflers,0,1.3,7.9,4
29,142,Col de la Croix des Moinats,891,7.6,6,2
29,150,Col de Grosse Pierre,901,3,7.5,2
29,161,Côte de La Mauselaine,0,1.8,10.3,3
30,11.5,Col de la Schlucht,1140,8.6,4.5,2
30,41,Col du Wettstein,0,7.7,4.1,3
30,70,Côte des Cinq Châteaux,0,4.5,6.1,3
30,86,Côte de Gueberschwihr,559,4.1,7.9,2
30,120,Le Markstein,1183,10.8,5.4,1
30,127,Grand Ballon,0,1.4,8.6,3
31,30.5,Col du Firstplan,722,8.3,5.4,2
31,54.5,Petit Ballon,1163,9.3,8.1,1
31,71.5,Col du Platzerwasel,1193,7.1,8.4,1
31,103.5,Col d'Oderen,884,6.7,6.1,2
31,125.5,Col des Croix,0,3.2,6.2,3
31,143.5,Col des Chevrères,914,3.5,9.5,1
31,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
32,141,Côte de Rogna,0,7.6,4.9,3
32,148.5,Côte de Choux,0,1.7,6.5,3
32,152.5,Côte de Désertin,0,3.1,5.2,4
32,168,Côte d'Échallon,0,3,6.6,3
33,58.5,Col de Brouilly,0,1.7,5.1,4
33,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
33,138,Col des Brosses,0,15.3,3.3,3
33,164,Côte de Grammond,0,9.8,2.9,4
34,24,Col de la Croix de Montvieux,0,8,4.1,3
34,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
34,197.5,Montée de Chamrousse,1730,18.2,7.3,H
35,82,Col du Lautaret,2058,34,3.9,1
35,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
35,177,Montée de Risoul,1855,12.6,6.9,1
37,25,Côte de Fanjeaux,0,2.4,4.9,4
37,71.5,Côte de Pamiers,0,2.5,5.4,4
37,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
37,176.5,Col des Ares,0,6,5.2,3
37,216,Port de Balès,1755,11.7,7.7,H
38,57.5,Col du Portillon,1292,8.3,7.1,1
38,82,Col de Peyresourde,1569,13.2,7,1
38,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
38,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
39,28,Côte de Bénéjacq,0,2.6,6.7,3
39,56,Côte de Loucrup,0,2,7,3
39,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
39,145.5,Montée du Hautacam,1520,13.6,7.8,H
40,195.5,Côte de Monbazillac,0,1.3,7.6,4
42,31,Côte de Briis-sous-Forges,0,0,0,4
43,68,Côte de Cray,0,1.6,7.1,4
43,103.5,Côte de Buttertubs,0,4.5,6.8,3
43,129.5,Côte de Griton Moor,0,3,6.6,3
44,47,Côte de Blubberhouses,0,1.8,6.1,4
44,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
44,112.5,VC Côte de Ripponden,0,1.3,8.6,3
44,119.5,Côte de Greetland,0,1.6,6.7,3
44,143.5,Côte de Holme Moss,0,4.7,7,2
44,167,Côte de Midhopestones,0,2.5,6.1,3
44,175,Côte de Bradfield,0,1,7.4,4
44,182,Côte d'Oughtibridge,0,1.5,9.1,3
44,196,VC Côte de Jenkin Road,0,0.8,10.8,4
46,34,Côte de Campagnette,0,1,6.5,4
46,117.5,Mont Noir,0,1.3,5.7,4
48,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
48,157,Côte de Roucy,0,1.5,6.2,4
49,217.5,Côte de Maron,0,3.2,5,4
49,229,Côte de Boufflers,0,1.3,7.9,4
50,142,Col de la Croix des Moinats,891,7.6,6,2
50,150,Col de Grosse Pierre,901,3,7.5,2
50,161,Côte de La Mauselaine,0,1.8,10.3,3
51,11.5,Col de la Schlucht,1140,8.6,4.5,2
51,41,Col du Wettstein,0,7.7,4.1,3
51,70,Côte des Cinq Châteaux,0,4.5,6.1,3
51,86,Côte de Gueberschwihr,559,4.1,7.9,2
51,120,Le Markstein,1183,10.8,5.4,1
51,127,Grand Ballon,0,1.4,8.6,3
52,30.5,Col du Firstplan,722,8.3,5.4,2
52,54.5,Petit Ballon,1163,9.3,8.1,1
52,71.5,Col du Platzerwasel,1193,7.1,8.4,1
52,103.5,Col d'Oderen,884,6.7,6.1,2
52,125.5,Col des Croix,0,3.2,6.2,3
52,143.5,Col des Chevrères,914,3.5,9.5,1
52,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
53,141,Côte de Rogna,0,7.6,4.9,3
53,148.5,Côte de Choux,0,1.7,6.5,3
53,152.5,Côte de Désertin,0,3.1,5.2,4
53,168,Côte d'Échallon,0,3,6.6,3
54,58.5,Col de Brouilly,0,1.7,5.1,4
54,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
54,138,Col des Brosses,0,15.3,3.3,3
54,164,Côte de Grammond,0,9.8,2.9,4
55,24,Col de la Croix de Montvieux,0,8,4.1,3
55,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
55,197.5,Montée de Chamrousse,1730,18.2,7.3,H
56,82,Col du Lautaret,2058,34,3.9,1
56,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
56,177,Montée de Risoul,1855,12.6,6.9,1
58,25,Côte de Fanjeaux,0,2.4,4.9,4
58,71.5,Côte de Pamiers,0,2.5,5.4,4
58,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
58,176.5,Col des Ares,0,6,5.2,3
58,216,Port de Balès,1755,11.7,7.7,H
59,57.5,Col du Portillon,1292,8.3,7.1,1
59,82,Col de Peyresourde,1569,13.2,7,1
59,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
59,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
60,28,Côte de Bénéjacq,0,2.6,6.7,3
60,56,Côte de Loucrup,0,2,7,3
60,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
60,145.5,Montée du Hautacam,1520,13.6,7.8,H
61,195.5,Côte de Monbazillac,0,1.3,7.6,4
63,31,Côte de Briis-sous-Forges,0,0,0,4
64,68,Côte de Cray,0,1.6,7.1,4
64,103.5,Côte de Buttertubs,0,4.5,6.8,3
64,129.5,Côte de Griton Moor,0,3,6.6,3
65,47,Côte de Blubberhouses,0,1.8,6.1,4
65,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
65,112.5,VC Côte de Ripponden,0,1.3,8.6,3
65,119.5,Côte de Greetland,0,1.6,6.7,3
65,143.5,Côte de Holme Moss,0,4.7,7,2
65,167,Côte de Midhopestones,0,2.5,6.1,3
65,175,Côte de Bradfield,0,1,7.4,4
65,182,Côte d'Oughtibridge,0,1.5,9.1,3
65,196,VC Côte de Jenkin Road,0,0.8,10.8,4
67,34,Côte de Campagnette,0,1,6.5,4
67,117.5,Mont Noir,0,1.3,5.7,4
69,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
69,157,Côte de Roucy,0,1.5,6.2,4
70,217.5,Côte de Maron,0,3.2,5,4
70,229,Côte de Boufflers,0,1.3,7.9,4
71,142,Col de la Croix des Moinats,891,7.6,6,2
71,150,Col de Grosse Pierre,901,3,7.5,2
71,161,Côte de La Mauselaine,0,1.8,10.3,3
72,11.5,Col de la Schlucht,1140,8.6,4.5,2
72,41,Col du Wettstein,0,7.7,4.1,3
72,70,Côte des Cinq Châteaux,0,4.5,6.1,3
72,86,Côte de Gueberschwihr,559,4.1,7.9,2
72,120,Le Markstein,1183,10.8,5.4,1
72,127,Grand Ballon,0,1.4,8.6,3
73,30.5,Col du Firstplan,722,8.3,5.4,2
73,54.5,Petit Ballon,1163,9.3,8.1,1
73,71.5,Col du Platzerwasel,1193,7.1,8.4,1
73,103.5,Col d'Oderen,884,6.7,6.1,2
73,125.5,Col des Croix,0,3.2,6.2,3
73,143.5,Col des Chevrères,914,3.5,9.5,1
73,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
74,141,Côte de Rogna,0,7.6,4.9,3
74,148.5,Côte de Choux,0,1.7,6.5,3
74,152.5,Côte de Désertin,0,3.1,5.2,4
74,168,Côte d'Échallon,0,3,6.6,3
75,58.5,Col de Brouilly,0,1.7,5.1,4
75,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
75,138,Col des Brosses,0,15.3,3.3,3
75,164,Côte de Grammond,0,9.8,2.9,4
76,24,Col de la Croix de Montvieux,0,8,4.1,3
76,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
76,197.5,Montée de Chamrousse,1730,18.2,7.3,H
77,82,Col du Lautaret,2058,34,3.9,1
77,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
77,177,Montée de Risoul,1855,12.6,6.9,1
79,25,Côte de Fanjeaux,0,2.4,4.9,4
79,71.5,Côte de Pamiers,0,2.5,5.4,4
79,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
79,176.5,Col des Ares,0,6,5.2,3
79,216,Port de Balès,1755,11.7,7.7,H
80,57.5,Col du Portillon,1292,8.3,7.1,1
80,82,Col de Peyresourde,1569,13.2,7,1
80,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
80,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
81,28,Côte de Bénéjacq,0,2.6,6.7,3
81,56,Côte de Loucrup,0,2,7,3
81,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
81,145.5,Montée du Hautacam,1520,13.6,7.8,H
82,195.5,Côte de Monbazillac,0,1.3,7.6,4
84,31,Côte de Briis-sous-Forges,0,0,0,4
85,68,Côte de Cray,0,1.6,7.1,4
85,103.5,Côte de Buttertubs,0,4.5,6.8,3
85,129.5,Côte de Griton Moor,0,3,6.6,3
86,47,Côte de Blubberhouses,0,1.8,6.1,4
86,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
86,112.5,VC Côte de Ripponden,0,1.3,8.6,3
86,119.5,Côte de Greetland,0,1.6,6.7,3
86,143.5,Côte de Holme Moss,0,4.7,7,2
86,167,Côte de Midhopestones,0,2.5,6.1,3
86,175,Côte de Bradfield,0,1,7.4,4
86,182,Côte d'Oughtibridge,0,1.5,9.1,3
86,196,VC Côte de Jenkin Road,0,0.8,10.8,4
88,34,Côte de Campagnette,0,1,6.5,4
88,117.5,Mont Noir,0,1.3,5.7,4
90,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
90,157,Côte de Roucy,0,1.5,6.2,4
91,217.5,Côte de Maron,0,3.2,5,4
91,229,Côte de Boufflers,0,1.3,7.9,4
92,142,Col de la Croix des Moinats,891,7.6,6,2
92,150,Col de Grosse Pierre,901,3,7.5,2
92,161,Côte de La Mauselaine,0,1.8,10.3,3
93,11.5,Col de la Schlucht,1140,8.6,4.5,2
93,41,Col du Wettstein,0,7.7,4.1,3
93,70,Côte des Cinq Châteaux,0,4.5,6.1,3
93,86,Côte de Gueberschwihr,559,4.1,7.9,2
93,120,Le Markstein,1183,10.8,5.4,1
93,127,Grand Ballon,0,1.4,8.6,3
94,30.5,Col du Firstplan,722,8.3,5.4,2
94,54.5,Petit Ballon,1163,9.3,8.1,1
94,71.5,Col du Platzerwasel,1193,7.1,8.4,1
94,103.5,Col d'Oderen,884,6.7,6.1,2
94,125.5,Col des Croix,0,3.2,6.2,3
94,143.5,Col des Chevrères,914,3.5,9.5,1
94,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
95,141,Côte de Rogna,0,7.6,4.9,3
95,148.5,Côte de Choux,0,1.7,6.5,3
95,152.5,Côte de Désertin,0,3.1,5.2,4
95,168,Côte d'Échallon,0,3,6.6,3
96,58.5,Col de Brouilly,0,1.7,5.1,4
96,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
96,138,Col des Brosses,0,15.3,3.3,3
96,164,Côte de Grammond,0,9.8,2.9,4
97,24,Col de la Croix de Montvieux,0,8,4.1,3
97,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
97,197.5,Montée de Chamrousse,1730,18.2,7.3,H
98,82,Col du Lautaret,2058,34,3.9,1
98,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
98,177,Montée de Risoul,1855,12.6,6.9,1
100,25,Côte de Fanjeaux,0,2.4,4.9,4
100,71.5,Côte de Pamiers,0,2.5,5.4,4
100,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
100,176.5,Col des Ares,0,6,5.2,3
100,216,Port de Balès,1755,11.7,7.7,H
101,57.5,Col du Portillon,1292,8.3,7.1,1
101,82,Col de Peyresourde,1569,13.2,7,1
101,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
101,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
102,28,Côte de Bénéjacq,0,2.6,6.7,3
102,56,Côte de Loucrup,0,2,7,3
102,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
102,145.5,Montée du Hautacam,1520,13.6,7.8,H
103,195.5,Côte de Monbazillac,0,1.3,7.6,4
105,31,Côte de Briis-sous-Forges,0,0,0,4
106,68,Côte de Cray,0,1.6,7.1,4
106,103.5,Côte de Buttertubs,0,4.5,6.8,3
106,129.5,Côte de Griton Moor,0,3,6.6,3
107,47,Côte de Blubberhouses,0,1.8,6.1,4
107,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
107,112.5,VC Côte de Ripponden,0,1.3,8.6,3
107,119.5,Côte de Greetland,0,1.6,6.7,3
107,143.5,Côte de Holme Moss,0,4.7,7,2
107,167,Côte de Midhopestones,0,2.5,6.1,3
107,175,Côte de Bradfield,0,1,7.4,4
107,182,Côte d'Oughtibridge,0,1.5,9.1,3
107,196,VC Côte de Jenkin Road,0,0.8,10.8,4
109,34,Côte de Campagnette,0,1,6.5,4
109,117.5,Mont Noir,0,1.3,5.7,4
111,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
111,157,Côte de Roucy,0,1.5,6.2,4
112,217.5,Côte de Maron,0,3.2,5,4
112,229,Côte de Boufflers,0,1.3,7.9,4
113,142,Col de la Croix des Moinats,891,7.6,6,2
113,150,Col de Grosse Pierre,901,3,7.5,2
113,161,Côte de La Mauselaine,0,1.8,10.3,3
114,11.5,Col de la Schlucht,1140,8.6,4.5,2
114,41,Col du Wettstein,0,7.7,4.1,3
114,70,Côte des Cinq Châteaux,0,4.5,6.1,3
114,86,Côte de Gueberschwihr,559,4.1,7.9,2
114,120,Le Markstein,1183,10.8,5.4,1
114,127,Grand Ballon,0,1.4,8.6,3
115,30.5,Col du Firstplan,722,8.3,5.4,2
115,54.5,Petit Ballon,1163,9.3,8.1,1
115,71.5,Col du Platzerwasel,1193,7.1,8.4,1
115,103.5,Col d'Oderen,884,6.7,6.1,2
115,125.5,Col des Croix,0,3.2,6.2,3
115,143.5,Col des Chevrères,914,3.5,9.5,1
115,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
116,141,Côte de Rogna,0,7.6,4.9,3
116,148.5,Côte de Choux,0,1.7,6.5,3
116,152.5,Côte de Désertin,0,3.1,5.2,4
116,168,Côte d'Échallon,0,3,6.6,3
117,58.5,Col de Brouilly,0,1.7,5.1,4
117,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
117,138,Col des Brosses,0,15.3,3.3,3
117,164,Côte de Grammond,0,9.8,2.9,4
118,24,Col de la Croix de Montvieux,0,8,4.1,3
118,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
118,197.5,Montée de Chamrousse,1730,18.2,7.3,H
119,82,Col du Lautaret,2058,34,3.9,1
119,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
119,177,Montée de Risoul,1855,12.6,6.9,1
121,25,Côte de Fanjeaux,0,2.4,4.9,4
121,71.5,Côte de Pamiers,0,2.5,5.4,4
121,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
121,176.5,Col des Ares,0,6,5.2,3
121,216,Port de Balès,1755,11.7,7.7,H
122,57.5,Col du Portillon,1292,8.3,7.1,1
122,82,Col de Peyresourde,1569,13.2,7,1
122,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
122,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
123,28,Côte de Bénéjacq,0,2.6,6.7,3
123,56,Côte de Loucrup,0,2,7,3
123,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
123,145.5,Montée du Hautacam,1520,13.6,7.8,H
124,195.5,Côte de Monbazillac,0,1.3,7.6,4
126,31,Côte de Briis-sous-Forges,0,0,0,4
127,68,Côte de Cray,0,1.6,7.1,4
127,103.5,Côte de Buttertubs,0,4.5,6.8,3
127,129.5,Côte de Griton Moor,0,3,6.6,3
128,47,Côte de Blubberhouses,0,1.8,6.1,4
128,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
128,112.5,VC Côte de Ripponden,0,1.3,8.6,3
128,119.5,Côte de Greetland,0,1.6,6.7,3
128,143.5,Côte de Holme Moss,0,4.7,7,2
128,167,Côte de Midhopestones,0,2.5,6.1,3
128,175,Côte de Bradfield,0,1,7.4,4
128,182,Côte d'Oughtibridge,0,1.5,9.1,3
128,196,VC Côte de Jenkin Road,0,0.8,10.8,4
130,34,Côte de Campagnette,0,1,6.5,4
130,117.5,Mont Noir,0,1.3,5.7,4
132,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
132,157,Côte de Roucy,0,1.5,6.2,4
133,217.5,Côte de Maron,0,3.2,5,4
133,229,Côte de Boufflers,0,1.3,7.9,4
134,142,Col de la Croix des Moinats,891,7.6,6,2
134,150,Col de Grosse Pierre,901,3,7.5,2
134,161,Côte de La Mauselaine,0,1.8,10.3,3
135,11.5,Col de la Schlucht,1140,8.6,4.5,2
135,41,Col du Wettstein,0,7.7,4.1,3
135,70,Côte des Cinq Châteaux,0,4.5,6.1,3
135,86,Côte de Gueberschwihr,559,4.1,7.9,2
135,120,Le Markstein,1183,10.8,5.4,1
135,127,Grand Ballon,0,1.4,8.6,3
136,30.5,Col du Firstplan,722,8.3,5.4,2
136,54.5,Petit Ballon,1163,9.3,8.1,1
136,71.5,Col du Platzerwasel,1193,7.1,8.4,1
136,103.5,Col d'Oderen,884,6.7,6.1,2
136,125.5,Col des Croix,0,3.2,6.2,3
136,143.5,Col des Chevrères,914,3.5,9.5,1
136,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
137,141,Côte de Rogna,0,7.6,4.9,3
137,148.5,Côte de Choux,0,1.7,6.5,3
137,152.5,Côte de Désertin,0,3.1,5.2,4
137,168,Côte d'Échallon,0,3,6.6,3
138,58.5,Col de Brouilly,0,1.7,5.1,4
138,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
138,138,Col des Brosses,0,15.3,3.3,3
138,164,Côte de Grammond,0,9.8,2.9,4
139,24,Col de la Croix de Montvieux,0,8,4.1,3
139,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
139,197.5,Montée de Chamrousse,1730,18.2,7.3,H
140,82,Col du Lautaret,2058,34,3.9,1
140,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
140,177,Montée de Risoul,1855,12.6,6.9,1
142,25,Côte de Fanjeaux,0,2.4,4.9,4
142,71.5,Côte de Pamiers,0,2.5,5.4,4
142,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
142,176.5,Col des Ares,0,6,5.2,3
142,216,Port de Balès,1755,11.7,7.7,H
143,57.5,Col du Portillon,1292,8.3,7.1,1
143,82,Col de Peyresourde,1569,13.2,7,1
143,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
143,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
144,28,Côte de Bénéjacq,0,2.6,6.7,3
144,56,Côte de Loucrup,0,2,7,3
144,95.5,Col du Tourmalet - Souvenir Jacques Goddet,2115,17.1,7.3,H
144,145.5,Montée du Hautacam,1520,13.6,7.8,H
145,195.5,Côte de Monbazillac,0,1.3,7.6,4
147,31,Côte de Briis-sous-Forges,0,0,0,4
148,68,Côte de Cray,0,1.6,7.1,4
148,103.5,Côte de Buttertubs,0,4.5,6.8,3
148,129.5,Côte de Griton Moor,0,3,6.6,3
149,47,Côte de Blubberhouses,0,1.8,6.1,4
149,85,Côte d'Oxenhope Moor,0,3.1,6.4,3
149,112.5,VC Côte de Ripponden,0,1.3,8.6,3
149,119.5,Côte de Greetland,0,1.6,6.7,3
149,143.5,Côte de Holme Moss,0,4.7,7,2
149,167,Côte de Midhopestones,0,2.5,6.1,3
149,175,Côte de Bradfield,0,1,7.4,4
149,182,Côte d'Oughtibridge,0,1.5,9.1,3
149,196,VC Côte de Jenkin Road,0,0.8,10.8,4
151,34,Côte de Campagnette,0,1,6.5,4
151,117.5,Mont Noir,0,1.3,5.7,4
153,107.5,Côte de Coucy-le-Château-Auffrique,0,0.9,6.2,4
153,157,Côte de Roucy,0,1.5,6.2,4
154,217.5,Côte de Maron,0,3.2,5,4
154,229,Côte de Boufflers,0,1.3,7.9,4
155,142,Col de la Croix des Moinats,891,7.6,6,2
155,150,Col de Grosse Pierre,901,3,7.5,2
155,161,Côte de La Mauselaine,0,1.8,10.3,3
156,11.5,Col de la Schlucht,1140,8.6,4.5,2
156,41,Col du Wettstein,0,7.7,4.1,3
156,70,Côte des Cinq Châteaux,0,4.5,6.1,3
156,86,Côte de Gueberschwihr,559,4.1,7.9,2
156,120,Le Markstein,1183,10.8,5.4,1
156,127,Grand Ballon,0,1.4,8.6,3
157,30.5,Col du Firstplan,722,8.3,5.4,2
157,54.5,Petit Ballon,1163,9.3,8.1,1
157,71.5,Col du Platzerwasel,1193,7.1,8.4,1
157,103.5,Col d'Oderen,884,6.7,6.1,2
157,125.5,Col des Croix,0,3.2,6.2,3
157,143.5,Col des Chevrères,914,3.5,9.5,1
157,161.5,La Planche des Belles Filles,1035,5.9,8.5,1
158,141,Côte de Rogna,0,7.6,4.9,3
158,148.5,Côte de Choux,0,1.7,6.5,3
158,152.5,Côte de Désertin,0,3.1,5.2,4
158,168,Côte d'Échallon,0,3,6.6,3
159,58.5,Col de Brouilly,0,1.7,5.1,4
159,83,Côte du Saule-d'Oingt,0,3.8,4.5,3
159,138,Col des Brosses,0,15.3,3.3,3
159,164,Côte de Grammond,0,9.8,2.9,4
160,24,Col de la Croix de Montvieux,0,8,4.1,3
160,152,Col de Palaquit (D57-D512),1154,14.1,6.1,1
160,197.5,Montée de Chamrousse,1730,18.2,7.3,H
161,82,Col du Lautaret,2058,34,3.9,1
161,132.5,Col d'Izoard - Souvenir Henri Desgrange,2360,19,6,H
161,177,Montée de Risoul,1855,12.6,6.9,1
163,25,Côte de Fanjeaux,0,2.4,4.9,4
163,71.5,Côte de Pamiers,0,2.5,5.4,4
163,155,Col de Portet-d'Aspet,1069,5.4,6.9,2
163,176.5,Col des Ares,0,6,5.2,3
163,216,Port de Balès,1755,11.7,7.7,H
164,57.5,Col du Portillon,1292,8.3,7.1,1
164,82,Col de Peyresourde,1569,13.2,7,1
164,102.5,Col de Val Louron-Azet,1580,7.4,8.3,1
164,124.5,Montée de Saint-Lary Pla d'Adet,1680,10.2,8.3,H
